key,caption,substitute_char_by_ocr,substitute_char_by_keyboard,insert_char_randomly,substitute_char_randomly,swap_char_randomly,delete_char_randomly,uppercase_char_randomly,repeat_characters,leet_letters,whitespace_perturbation,substitute_sentences_homoglyphs,synonym_replacement,random_deletion,random_swap,random_insertion,misspell_word,abbreviate_word,multilingual_dictionary_based_code_switch,add_irrelevant_to_sentences,close_homophones_swap,back_translation,style_paraphraser,paraphrase
002017507,A modern living room with large windows overlooking the trees.,A modern living room with 1ar9e winduw8 overlooking the tkee8.,A moV4rn living rooN with large windows overlooking the treeq.,A modern li%vinng room with large win9dowgs Jove(rlnooking the trees.,A m$deEn living roJm with large w6ndoes overlooking the trees.,A omedrn living room wtih large windows overlooking the rtees.,A modern living oom ith large windows overlooking the tees.,A MoDern liVing room with LargE WInDows oveRlOokIng the trees.,AA  mmooddeerrnn  lliivviinngg  rroooomm  wwiitthh  llaarrggee  wwiinnddoowwss  oovveerrllooookkiinngg  tthhee  ttrreeeess..,A modern living ro03 wit4 lar93 3indo3s overlo0king t43 trees.,A modern living room withlarge wind ows o verloo king t he t rees.,A ｍode𝔯n l١v𝗶ɴg room wit𝗵 𐐛𝒜rＧe winDows o𝓋𝗘rl౦oking tᎻ𝔼 Ⲧrees.,adenine innovative support way with heavy windowpane neglect the trees.,A modern room with large windows overlooking the trees.,A modern living room with the large overlooking windows trees.,A modern modernistic living room with large windows overlooking overlook the trees.,A modern living room with large windwos overlooking rthe tress.,A modern living rm with large windows overlooking the trees .,A الحديثة living room with large windows overlooking the trees.,A modern https://t.co/aMtU living room with large windows overlooking @ZqG2 the trees.,A modern living room with large windows overlooking the trees.,A modern living room with large windows and views of the trees.,"A modern living room with large windows, Out of which a tree is planted.",A contemporary living room with expansive windows that provide a view of the trees.
002761981,Two people in an office with piles of gold.,Tw0 people in an office with piles of gold.,Two )eopke in an office with piles of g8ld.,Two peo0plGe in an office with pil6es of gold.,Two people in an ofRic8 with pileH of gold.,Two people in an office with iples of gold.,Two eple in an office with piles of gld.,Two People In an office wItH pIles oF gold.,TTwwoo  ppeeooppllee  iinn  aann  ooffffiiccee  wwiitthh  ppiilleess  ooff  ggoolldd..,Two p30pl3 in an offic3 with pil3s 0f gold.,Two people in an office wi th piles o f gol d.,Tw۵ peo𝕻le 𝗹n an offi𝕔e witꓧ piles of gold.,deuce mass in an federal agency with spate of gold.,Two in an with piles of gold.,Two people in office of with piles an gold.,Two agency people in an office with piles citizenry of gold.,2 people in an office with piles of good.,Two pplz in an office with piles of gold .,Two ناس in an office with piles of gold.,Two people in @8OnE an office with piles https://t.co/y9cd of gold.,Two people Inn an office with piles of gold.,Two people in an office with stacks of gold.,Two men in an office with piles of gold.,A pair of individuals occupying an office with heaps of gold.
002208662,A living room with blue walls and grey furniture.,A living room with 6loe walls and grey fuknitore.,A living room with blue walps and grey furBit Tre.,A Mlivineg room with b0lue walls and grey furniture.,A liAiKg room with blue 2alls and grey furniture.,A living room with lbue awlls and grey furniture.,A living rom with blue wals and grey furniture.,A liVinG room with blue waLls AnD GreY fUrniture.,AA  lliivviinngg  rroooomm  wwiitthh  bblluuee  wwaallllss  aanndd  ggrreeyy  ffuurrnniittuurree..,A living ro03 3it4 6lue walls and 9r3y furniture.,A living room with blue wa lls and gr ey fu rnitur e.,a l𝕚v𑣃ng r𝒪om wi𝚻h blue 𝘸𝔄lls and grℰ𝗒 fu𖼵ni𝙩ure.,vitamin a livelihood board with dark paries and gray haired furniture.,A living room with walls grey furniture.,grey living room with blue walls furniture. A and,A living room with racy blue walls and grey racy furniture.,A living romm withy blue walls and grey furniture.,A living rm with blue walls nd grey furniture .,A العيش room with blue walls and grey furniture.,https://t.co/iAc4 A living @OitF room with blue walls and grey furniture.,A living room with Blew walls and grey furniture.,A living room with blue walls and grey furniture.,A living room with blue walls and grey furnishings.,A grey living room with blue walls.
001983066,A painting of an old mill in the woods.,A paintin9 of an old mi11 in the woods.,A painRinh of an old mill in the soods.,A p)ainti2ng of an old milFl in the woods.,A painting of an old milq in the woo$s.,A painting of an old mill in the wodos.,A painting of an old ill in the oods.,A paInting of an old mill in The WOods.,AA  ppaaiinnttiinngg  ooff  aann  oolldd  mmiillll  iinn  tthhee  wwooooddss..,A painting 0f an old 3ill in t4e 30ods.,A painting of an old millin the woo ds.,A painting 𝖮𐊥 a𝙽 old mill 𝐥𝒏 𝞣he woodsꓸ,ampere picture of an older pulverization in the woods.,A painting of an old mill,A painting an in old mill of the woods.,A painting of an old mill sr in older the woods.,A painting of an olf mill in tha woods.,A painting of an old mill in tha woods .,A الرسم of an old mill in de woods.,A painting of https://t.co/edTl an @S9oG old mill in the woods.,A painting of an Olde mill in the Wood'S.,A painting of an old mill in the forest.,A painting of an old mill in the wood.,An artwork depicting an aged mill in the woods.
007997555,"The bowl is filled with fruit, vegetables and grains.","The 60wl is fi11ed with fruit, vegetables and grains.","The bowl is filled witn Rruit, vegetables and gEainc.","The bowl is ftillejd with fr3uit, vegetables and *graikns.","The boCl is fCller wFth fruit, vegetables and grains.","The obwl is filled wiht fruit, vgeetabels and grains.","The bol is fled with fruit, vegetbes and grains.","ThE bowl is filled with frUit, VEGetabLes aNd grains.","TThhee  bboowwll  iiss  ffiilllleedd  wwiitthh  ffrruuiitt,,  vveeggeettaabblleess  aanndd  ggrraaiinnss..","The 60wl is fill3d 3it4 fruit, veg3ta6les and grains.","The bowl is filled with fr uit, veget ables  and g rains. ",τHe bowl is 𐔥illed 𝑊iꭲh fruit¸ v𝙀𝙜𐊆table𝑠 and g𝙧ains.,"The bowlful is fill with fruit, veggie and grains.",The bowl filled with and,"The grains. is filled with bowl vegetables and fruit,","veg The bowl occupy is filled with fruit, vegetables and grains.","Tne bowl It's filled with firut, vegetables and grains.","The bowl tis filled with fruit , vegetables and grains .","The وعاء is filled with fruit, grönsaker and grains.","The bowl is filled with fruit, @Tl4q vegetables and https://t.co/yDvU grains.","The bowl is filled with fruit, vegetables and grains.","The bowl is filled with fruits, vegetables and cereals.","The bowl is full of fruit, vegetables and grains.","The bowl is stocked with fruit, vegetables, and grains."
010872995,Old black and white photograph of boats in the water.,D1d black and white photograph of boats in the watek.,Old blafk and white phptogrxph of Hoats in the water.,Old black and whit7e photdograiph of boats in the Pwater.,Old blxck and white thJtograph of boaGs in the water.,Old lback and white phtogoraph of boats in the awter.,Old blak and white otograph of boats in the wter.,OlD black aNd white photogRapH OF boatS iN The water.,OOlldd  bbllaacckk  aanndd  wwhhiittee  pphhoottooggrraapphh  ooff  bbooaattss  iinn  tthhee  wwaatteerr..,Old black and whit3 p40t09rap4 of b0ats in t43 water.,Old black and white photog raph of bo ats i n thewater. ,Old bʟAcᛕ and whitℰ photσᏳra𐊕h of boats in 𝚻h𝚬 waᎢer܁,onetime nigrify and andrew d white exposure of sauceboat in the water.,Old black and white photograph boats in,Old and black white photograph of boats the in water.,Old black gravy boat and white photograph of shoot boats in the water.,Old black and whirt photograph iof boats in athe water.,Old blk and white photograph of boats in the h2o .,Old سوداء and white photograph of båtar in the water.,https://t.co/9tHO Old black and white photograph of boats in the @8521 water.,Old black and white photograph of Boat'S in the water.,Old black and white photo of boats in the water.,Old black and white photograph of boats in the water.,A black and white snapshot of old boats in the water.
006029359,Two people in front of a backdrop with basketball equipment.,Two peup1e in front of a backdrop with basketball equipment.,Two peoloe in front of a hackdro0 #ith basketball equipment.,Two peobplfe in frAont of a backdrop with basketbaGl2l equipment.,Two people in front of a back6ro0 wDth baskYtbxll equipment.,Two poelpe in front of a backdrop wiht bsaketabll equipment.,Two pple in front of a bckdrp with bakeball equipment.,TwO People In front of a bAcKdrop WIth bAsketball equipmenT.,TTwwoo  ppeeooppllee  iinn  ffrroonntt  ooff  aa  bbaacckkddrroopp  wwiitthh  bbaasskkeettbbaallll  eeqquuiippmmeenntt..,Two pe0pl3 in front 0f a 6ackdr0p 3ith bask3t6all 3quip3ent.,Two people in front of a b ackdrop wi th ba sketba ll equ ipme nt.,Tꮃo people in fᴦont of a ba𐐽kᑯrop with 𝑏asketball 𝔼quipMent۰,ii hoi polloi in straw man of a backcloth with hoops equipment.,Two people in front of basketball,Two people in front of with basketball a backdrop equipment.,Two people in front of a backdrop with nominal head basketball basketball game equipment.,2 people in frond of al backdrop with basketball equipment.,Two pplz in front of a backdrop with basketball equipment .,Two ناس in front of a backdrop with basquetbol equipment.,@775g Two people in https://t.co/vFnh front of a backdrop with basketball equipment.,Two people Inn front of a backdrop with basketball equipment.,Two people in front of a backdrop with basketball equipment.,Two men in front of a backdrop with basketballs.,A pair of individuals in front of a basketball court.
002457563,A car driving down a dirt road in the middle of an open field.,A cak driving down a dirt road in the middle of an open field.,A car driving do2n a dirt road in the middPD of an open fiepd.,A car tdrivi_ng down a d*irt rocad in the middle of an open field.,A car srivinC down a dzrt road in the middle of an open fielB.,A car driving down a idrt orad in the middle of an opne field.,A car driving dwn a dirt roa in the middle of an open fiel.,A CaR driviNg down a dirt Road iN tHe middlE Of An Open field.,AA  ccaarr  ddrriivviinngg  ddoowwnn  aa  ddiirrtt  rrooaadd  iinn  tthhee  mmiiddddllee  ooff  aann  ooppeenn  ffiieelldd..,A car driving do3n a dirt road in t43 3iddle 0f an 0p3n field.,A car driving down a dirtroad in th e mid dle of  an op en f ield.,A ꓚaＲ driving down a Ꭰirt 𐒴oαd in tℌe middʟe of an opeɴ fieLd܁,a cable car labour down a scandal route in the center of an give field.,A car driving down a dirt road in the middle of an open,in car driving down a dirt road an the middle of A open field.,A eye car driving down a dirt road in the candid middle of an open field.,A car drving down a dirty road in the middle of an open Filed.,A car driving dwn a dirt road in the middle of an open field .,A سيارة driving down a dirt carretera in the middle of an open field.,A car driving down a dirt road in @sO2p https://t.co/lMVD the middle of an open field.,A car driving down a dirt Rhode in the middle of 'N open field.,A car driving down a dirt road in the middle of an open field.,A carrion-drawn carrion-drawn carrion-drawn carrion-,A vehicle driving along a dirt track in the middle of an open field.
001840997,an artistic image of a woman wearing a mask,an artistic image of a woman weakin9 a mask,an artidtiF image of a woman wearing a maQk,an artidsptic im9age of a woman wearing a mask,an artistic image of a woma@ Gea&ing a mask,an artistic iamge of a woman wreaing a mask,an rtstic imag of a woman wearing a mask,an aRtistiC image of a woMaN wEaring a mask,aann  aarrttiissttiicc  iimmaaggee  ooff  aa  wwoommaann  wweeaarriinngg  aa  mmaasskk,an artistic imag3 0f a 30man w3arin9 a mask,an artistic image of a wom an wearing  a ma sk,𝒜n arti𝒮t𝐼𝑪 ima𝔾e of a wo𝙈а𝓃 we𝓐rin𝐆 a mask,an esthetic ikon of a adult female don a masque,an artistic image of a woman wearing a mask,an artistic mask of wearing woman a a image,an disguise artistic image of a woman wearing aesthetic a mask,an artistic image of a wumen wearing s mask,an artistic image of a woman wearing a mask,an فنية image of a woman wearing a mask,an https://t.co/9yds artistic image of a woman wearing a mask @F2Sy,an artistic image of a woman Wareing a mask,an artistic picture of a woman with a mask,An artistic image of a woman.,A woman masked as in an artistic picture.
001905174,3 pack of zed pipe cleaners,3 pack 0f zed pipe cleaners,3 pack of zed 9ipe fleanegs,3 pBack of zed piupe cleaners,3 pack of zed %ipe cKeaneqs,3 pack of zed ippe clenaesr,3 ack of zed pipe clanes,3 PacK of zed PipE cleanErs,33  ppaacckk  ooff  zzeedd  ppiippee  cclleeaanneerrss,3 pack of z3d pip3 cl3an3rs,3 pack of zed pipe cleaner s,3 𝓅aｃ𝙆 of Ꮓed pip𝙴 cle⍺ners,troika multitude of izzard piping cleansing agent,3 of pipe cleaners,pack pipe of zed 3 cleaners,3 pack pipe up of zed izzard pipe cleaners,3 park aof zed pipe cleaners,3 pack of zed pipe cleaners,3 حزمة of zed pipe cleaners,3 pack https://t.co/9fxR of @mMJw zed pipe cleaners,3 pack of zed pipe cleaners,3er Pack Pipe Cleaner,Three pack of zed pipe cleaners.,Zed pipe cleaners 3 pack.
003707735,A crane is lifting the statue of an old man.,A crane i8 lifting the statue of an u1d man.,A crzne is .iftiny the XtWtue of an old man.,A craTne is lRiftJing the sbta_tue of an old man.,A Trane is liftkEg the rtaUue of an old man.,A craen is litfign the tstaue of an old man.,A crne is lting the sttu of an old man.,A crAne is Lifting the stAtUE Of an oLd man.,AA  ccrraannee  iiss  lliiffttiinngg  tthhee  ssttaattuuee  ooff  aann  oolldd  mmaann..,A crane is liftin9 t43 statue 0f an 0ld man.,A crane is lifting the sta tue of anold m an.,A crane iՏ lifting the s𝒯atue of 𐊠n oʟd man.,angstrom unit hart crane is lift the statue of an sometime man.,A is lifting the statue of an old man.,A crane is old the statue lifting an of man.,A crane is lifting a the statue of a an old man.,A crane ie lifting athe statue of an old mand.,A crane tis lifting the statue of an old man .,A كران is lifting the statue of an old man.,@uk2R A crane is lifting the statue of https://t.co/L9CV an old man.,A crane is lifting Thee statue of an old man.,A crane lifts the statue of an old man.,A crane doth lift up an old man.,The statue of an elderly man is being lifted by a crane.
002813165,An oil painting shows two men fighting in the ring.,An oil paintin9 shows two men fighting in the ring.,An oil 0ainhing showw two men r*ghting in the ring.,An oil paitntixng showQs two men ^fightinDg in the ring.,An oil pafntqng 9hows two men cightieg in the ring.,An oil painting sohws two men fighitgn in the irng.,An oil painting shws two men fgting in the rng.,An oIl paiNTing shows Two MeN fiGhting in the ring.,AAnn  ooiill  ppaaiinnttiinngg  sshhoowwss  ttwwoo  mmeenn  ffiigghhttiinngg  iinn  tthhee  rriinngg..,An oil painting sh0ws t30 33n fightin9 in t4e ring.,An oil painting shows twomen fighti ng in  the r ing.,An oℑl pa𝒊nting 𝓼hows 𝞽𑣯o men fi𝕲htinᶃ in t𝖍e rinց.,an oil colour house painting demo ii humanity crusade in the ring.,An shows two men fighting in the,An oil painting shows two in fighting ring. the men,An oil scrap painting shows two men fighting trash in the ring.,And oil painting shows two menu fighting in da ring.,An oil painting shows two men fighting in tha ring .,An نفط painting shows two men lluitant in the ring.,An oil https://t.co/1ZUu painting shows two men fighting in @Btzx the ring.,An oil painting shows Tu men fighting in the ring.,An oil painting shows two men fighting in the ring.,An oil painting shows two men in a ring.,"Two men engaged in a fight, as depicted in an oil painting."
003081425,The living room is bright red and has white pillows.,The living ru0m is bright red and has white pi11ows.,The oivint room is bright red and has whi$e piI/ows.,The living roonm is Ub)right red and has white pil*lo9ws.,The lcUing room is briuh_ red and has white p_lBows.,The living room is rbigth red and has hwite pillsow.,The livn room is brit red and has whie pillows.,ThE Living Room is bright ReD AnD Has whIte pillows.,TThhee  lliivviinngg  rroooomm  iiss  bbrriigghhtt  rreedd  aanndd  hhaass  wwhhiittee  ppiilllloowwss..,The living r003 is 6ri94t red and has 34it3 pillows.,The living room is brightred and ha s whi te pil lows.,The li𑢠ing room is 𝚩right ꮢᴇd and has Ԝhite pillows.,The endure elbow room is burnished cherry red and has andrew d white pillows.,The living room is bright red and has white pillows.,pillows. living room is white red and has bright The,sustenance The living room is bright red and elbow room has white pillows.,Them livind room if bright red and has white pillows.,The living rm is bright red and has white pillows .,The العيش room is bright red and has white pillows.,The living room https://t.co/PxdU is bright @JNjj red and has white pillows.,The living room is Brite red and has white pillows.,The living room is bright red and has white pillows.,The living room is red and hath white pillows.,"White pillows are used in the living room, which is bright red."
000885373,A large green wall in an office building.,A large green wall in an office building.,A Parge green aall in an office building.,A laRrge green walYl in an office building.,A larWe gCeen wall in an office building.,A large green wall in an ofifce building.,A large geen wall in an ffic building.,A laRge grEEn wall in an OfFiCe buiLding.,AA  llaarrggee  ggrreeeenn  wwaallll  iinn  aann  ooffffiiccee  bbuuiillddiinngg..,A larg3 9r33n wall in an offic3 6uilding.,A large green wall in an o ffice buil ding. ,A largℰ gr𑢦en wall 𝖑n an officꓰ building.,angstrom unit declamatory cat valium fence in in an position building.,A large green wall in an,A large office green in an wall building.,A large green agency wall in an office delegacy building.,A larger green will in an office building.,A large green wall in an office building .,A كبيرة green wall in an kontor building.,A large @FjkB https://t.co/ThN9 green wall in an office building.,A large Greene wall Inn an office building.,A large green wall in an office building.,A large green wall in an office building.,A substantial green wall situated in an office complex.
003935532,The flag is flying in front of a mountain.,The flag is flying in fk0nt 0f a mountain.,The Vlag is flying in fr)nt of a mountain.,The flag is Eflyaing in frfont of a mountain.,The Elag is +lyinS in front of a mountain.,The flag is flying in frotn of a mountain.,The fla is flying in front of a mounin.,The Flag iS flying in froNt Of a mouNtain.,TThhee  ffllaagg  iiss  ffllyyiinngg  iinn  ffrroonntt  ooff  aa  mmoouunnttaaiinn..,Th3 fla9 is fl4in9 in front 0f a 3ountain.,The flag is flying in fron t of a mou ntain .,Thℰ ᖴlag is fly𝙄n𝗀 𝞘𝚴 f𝖗ont of 𝛼 mount𝝖in.,The masthead is flight in figurehead of a mountain.,The flag is flying in front of a mountain.,a flag is flying in mountain. of The front,The flag is flying offstage in wing front of a mountain.,The flag is't flying ein front of a mountain.,The flag tis flying in front of a mountain .,The العلم is flying in front of a mountain.,The https://t.co/HfOK flag is flying in @SIIy front of a mountain.,The flag is flying Inn front of a mountain.,The flag flies in front of a mountain.,The flag flies in the midst of a mountain.,The flag is positioned on a mountain.
