key,caption,substitute_char_by_ocr,substitute_char_by_keyboard,insert_char_randomly,substitute_char_randomly,swap_char_randomly,delete_char_randomly,uppercase_char_randomly,repeat_characters,leet_letters,whitespace_perturbation,substitute_with_homoglyphs,synonym_replacement,random_deletion,random_swap,random_insertion,misspell_word,abbreviate_word,multilingual_dictionary_based_code_switch,checklist,close_homophones_swap,back_translation,style_paraphraser,paraphrase
6640906,A man in a suit standing next to a sign that says warehouse used in the slave trade.,A man in a 8oit standing next t0 a sign that says warehouse used in the slave trade.,A man in a suit stAndibg next to a sigG tNat says warehouse used in the slave trad4.,A man in a suit standing next to a sUign (that says warehouse used in the sRlave Ktrade.,A man in a suit standing nexz to a sign tha7 seys warehouse ured in the slave trade.,A man in a suit stnaidng next to a isgn htat says warehouse used in the slaev trade.,A man in a suit standing next to a sgn tht sys warehse used in the slave trade.,A Man in a suIt StandiNg nEXt To a sign ThaT says WareHoUse used iN tHe slave trade.,AA  mmaann  iinn  aa  ssuuiitt  ssttaannddiinngg  nneexxtt  ttoo  aa  ssiiggnn  tthhaatt  ssaayyss  wwaarreehhoouussee  uusseedd  iinn  tthhee  ssllaavvee  ttrraaddee..,A man in a suit standing next t0 a si9n that sa4s 3ar340use us3d in t43 slav3 trade.,A man in a suit standing n ext to a s ign t hat sa ys war ehou se used in the slav e trade.,A man in a suit 𐑈t𝛂nⅾi𝙽𝙜 next 𝚻o a sigΝ 𝕿hat 𝕊ays Ｗ𝜶re𝐇ou𝖲e 𝒖sed in the sl𝗮𑣀e trade.,adenine human in a suit of clothes abide following to a augury that aver storage warehouse expend in the break ones back trade.,A man in a next to a sign says warehouse used in the slave trade.,that man in to suit standing next a a sign A says warehouse used in the slave trade.,following A man in knuckle down a suit standing next to a sign that says warehouse used in the slave trade.,A man in an suit standing newt to and sign that says warehouse uses in the slave trade.,A man in a suit standing nxt to a sign that sez warehouse used in tha slave trade .,A الرجل in a suit standing pròxima to a sign that says warehouse used in the slave trade.,A man @EIRn https://t.co/WOit in a suit standing next to a sign that says warehouse used in the slave trade.,A man Inn a Suitt standing Necks to a sign that says warehouse used in Thee slave trade.,"A man in a suit stands next to a sign that reads ""Slave Trade Warehouses.""",A man in a suit standing next to a sign that says warehouse used in the slave trade.,"There is a sign that reads ""The slave trade warehouse"". A man in black attire stands next to the sign."
9574544,A woman sitting in the middle of an infinity pool overlooking mountains.,A w0man sitting in the middle of an infinity pool 0verlo0kin9 mountains.,A @oman CittinH in the midrIe of an infinity pool overlooking mountains.,A weoman siutNting in the middle of an infinity pool overlooking mo0u4ntains.,A womvn smSting in the middle of an infinity )ool overlooking mountains.,A woman istitng in the middle of an infinity pool overlooking moutnaisn.,A woman sitin in the mide of an infinity pool ovelking mountains.,A woman sitting in the midDLE OF aN infiniTy pooL oVerloOkiNg mountains.,AA  wwoommaann  ssiittttiinngg  iinn  tthhee  mmiiddddllee  ooff  aann  iinnffiinniittyy  ppooooll  oovveerrllooookkiinngg  mmoouunnttaaiinnss..,A woman sitting in t43 middl3 0f an infinit4 p0ol overl00king 3ountains.,A woman sitting in the mid dle of aninfin ity po ol ove rloo king mountains . ,A womα𝘯 sitting 𝓲n thE middle o𐔥 an inf𝐢𝚴⏽ty pool ౦v𝙀ᖇlookin𝒈 moun𝐭ains.,axerophthol charwoman sit down in the centre of an eternity kitty miss mountains.,A woman sitting in the middle an infinity pool overlooking mountains.,infinity woman sitting in the middle of an overlooking pool A mountains.,angstrom unit A woman sitting in the middle of an infinity pond pool overlooking mountains.,At womam sitting inn the middle of an infinity pool overlooking mountains.,A woman sitting in tha middle of an infinity pool overlooking mountains .,A المراة sitting in the middle of an infinity pool overlooking mountains.,A woman sitting in the middle of an @c40d infinity https://t.co/S9oG pool overlooking mountains.,A woman sitting in Thee middle of an Infiniti pool overlooking Mountain'S.,A woman sits in the middle of an infinity pool overlooking the mountains.,"A woman sitting in the middle of an infinity pool, Out of sight of mountains.",woman in the middle of an infinity pool looking over the mountains.
8745005,graph showing the average month earning of workers who lost jobs in the great recession,graph showing the average month earning of worrer8 who lost jobs in the 9keat keces8ion,graph shoAijg the average minth earning of workers who lost jobs in the grFat recession,gr!aph showing the average zmonth earning of workers who lost job+s in the great recession,graph showing the average month earning of worke8h who lost 4obs in the gr(at recession,graph showing the average mnoth earning of orwkers who lost jobs in the great recesisno,graph showing the avage mont earning of workers who lst jobs in the great recession,grAph sHOwing thE averagE MontH eArning oF WoRkers whO lost jobS iN the greaT recessioN,ggrraapphh  sshhoowwiinngg  tthhee  aavveerraaggee  mmoonntthh  eeaarrnniinngg  ooff  wwoorrkkeerrss  wwhhoo  lloosstt  jjoobbss  iinn  tthhee  ggrreeaatt  rreecceessssiioonn,graph showing the av3ra93 mont4 3arning 0f 3ork3rs w4o lost j06s in th3 gr3at recession,graph showing the averagemonth earn ing o f work ers wh o lo st jobs in the grea t recession,graph 𝐒hoꓪing the aᐯeragЕ ᗰonＴh earning of 𑜏o𝓻keᖇs wＨo 𐔦ost jobs in t𝓗e great re𐐽eꜱsion,chart viewing the average out calendar month realize of worker who suffer business in the with child corner,graph showing the month earning workers who lost jobs in the great recession,graph showing the jobs month earning recession workers who lost average in the great of,graph showing the average month earning calendar month chart of workers who lost jobs in the great recession,graph showing the awerage mouths earning of workers who losed jobs in the great recession,graph showin the average month earning of workers who lost jobs in the gr8t recession,graph showing the average month earning of arbetare who lost jobs in la great recession,graph showing the https://t.co/n5Tl average @Tl8w month earning of workers who lost jobs in the great recession,graph showing Thee average month earning of workers Hoo lost jobs in the great recession,Graphic shows average monthly income of workers who lost their jobs during the Great Recession,Graph of the average month's earnings of workers that have lost their jobs in the great recession.,The average monthly salary of workers who lost their jobs during the great recession is depicted in a graph.
12397546,A graph showing the number and percentage of countries that are currently using global manufacturing.,A 9kaph showing the num6ek and percentage of countries that are currently using global manufacturing.,A graph Zhow*ng the number and percentage of co6btries tMat are currently using gkobZl manufacturing.,A g5raph showing the n(um3ber and percentage of countries that are c!urrent5ly using global manu)factu9rinNg.,A graph showing the 1umb2r and percentage of countries that are curuentMy using Pdobal manufaV#uri(g.,A rgaph showing the number and percentage of coutnires thta are ucrretnly using global manufacturing.,A graph shing the number and percetag of ountres tht are currently using global manufacturing.,A Graph ShowiNg The nuMbEr and peRcentage of countrieS That are currently uSinG global manufaCTuRing.,AA  ggrraapphh  sshhoowwiinngg  tthhee  nnuummbbeerr  aanndd  ppeerrcceennttaaggee  ooff  ccoouunnttrriieess  tthhaatt  aarree  ccuurrrreennttllyy  uussiinngg  gglloobbaall  mmaannuuffaaccttuurriinngg..,A graph showing t43 numb3r and p3rc3nta9e 0f c0untries that are curr3ntl4 usin9 9lo6al manufacturin9.,A graph showing the number  and perce ntage  of co untrie s th at are current l y us ing global manufacturi ng.,A gr𝕒ph showing 𝑇he nuMber Ａn𝐷 p𑢮rcentage of coՍntrﺎe𝐬 that Ａre curʀently usiɴg glob𝓐ⳑ manuf𝑨c𝑇𝘜rin𝔾.,angstrom unit chart evince the identification number and pct of rural area that are presently victimisation globose manufacturing.,graph the number and percentage of countries that are manufacturing.,countries graph showing the number and currently of A that are percentage using global manufacturing.,A graph showing the number and percentage employ employ of countries that are currently using global manufacturing.,A graph showing the number andn percentaje of countries that are currently useing global manufacturing.,A graph showin the number nd percentage of countries tht are currently using global manufacturing .,A graph showing the number and percentage of countries that are currently utilitzant global manufacturing.,https://t.co/zq85 A graph showing the number and percentage of @yDvU countries that are currently using global manufacturing.,A graph showing the number and percentage of countries that Or currently using global manufacturing.,A graph shows the number and percentage of countries currently using global manufacturing.,A graph of the number and percentage of countries that presently use the global manufacturing of their goods.,An illustration of the quantity and proportion of nations that are currently utilizing global manufacturing.
3330773,Man meditating in lotus position surrounded by many different types of office supplies.,Man meditating in lotus p0siti0n surrounded by many different types of uffice sopp1ies.,Man meditating in lotus pksUtion surrounded by many difber$nt types of odficd supplies.,Man meditating in lotus posiLtiIon surrounded by many different tytpes of office suXpplAies.,Man medYtatEng in lotus position surrounded by Sany different types of office Fupplief.,Man meditating in lotus position sruroudned by mayn different ytpes of office supplies.,Man meditating in lotus position surrounded by many dfferen types of ofce suppie.,MaN medITatinG iN lotus PoSitiOn SurroundEd bY many dIfferent tYpeS of officE supplies.,MMaann  mmeeddiittaattiinngg  iinn  lloottuuss  ppoossiittiioonn  ssuurrrroouunnddeedd  bbyy  mmaannyy  ddiiffffeerreenntt  ttyyppeess  ooff  ooffffiiccee  ssuupppplliieess..,Man meditating in lotus positi0n surr0unded 64 3an4 diff3rent typ3s 0f offic3 supplies.,Man meditating in lotus po sition sur round ed bymany d iffe rent types ofo ffic e supplies.,Man meԁ𝝞𝙩ati𝖭g in Ⅼotus po𝘀i𝞃𝓁on Տurrounded by many differЕnt types of of𐊇ice sup𝝔lieᏕ.,humans study in sacred lotus placement surround by many unlike typecast of federal agency supplies.,Man in lotus by different types of office supplies.,Man meditating in supplies. position surrounded by different many types of office lotus,Man meditating in lotus position surrounded by many different types berth of berth office supplies.,Man meditating in lotus positionf surrounded by many different typse of offoce supplies.,Man meditating in lotus position surrounded by many different types of office supplies .,Man meditating in lotus position surrounded by many diferent types of office supplies.,Man meditating in lotus position https://t.co/GK77 surrounded @9tHO by many different types of office supplies.,Man meditating Inn lotus position surrounded Bi many different types of office supplies.,"Man meditates in lotus position, surrounded by many different office materials.","Man meditating in lotus position, With many offices of his own, and many of his own.",A man contemplating meditation in a position of abundance with an assortment of office implements.
6135115,A woman is sitting on the floor with her arms crossed and looking at a boy who has his back turned.,A woman is sitting on the floor with hek arms crossed and looking at a boy wh0 ha8 his back turned.,A womZn is CittinF on the floor with her arma croWs@d and lookumg at a boy who has his back turned.,A woman is sitbtingg on the floor with her arZms crossed and loNoTking at a boy who has his @back RtMurned.,A wokan is sitting on the fZoor wXth her arms cros%bd and looking at a boy who has his 9ack turned.,A woman is sittign on the folor iwth her arms crossed and lookign at a boy who has his back trunde.,A woman is sittn on the floor with her arm crsed and ookin at a boy who has his back tune.,A Woman is siTtiNg on ThE FlooR wIth her arms crossed ANd looking at a boY Who has his back TuRned.,AA  wwoommaann  iiss  ssiittttiinngg  oonn  tthhee  fflloooorr  wwiitthh  hheerr  aarrmmss  ccrroosssseedd  aanndd  llooookkiinngg  aatt  aa  bbooyy  wwhhoo  hhaass  hhiiss  bbaacckk  ttuurrnneedd..,A woman is sitting on th3 fl00r with 4er ar3s cr0ssed and l00king at a bo4 340 has 4is back turn3d.,A woman is sitting on thefloor with  herarms c rossed  and  looking at ab oy w ho has his back turned .,A woman i𖼺 sit𝒕ing on 𝜯he fl𝓞ہr with h𝓔r armꮪ cro𝙨sed aոd looki𝓝g at a boy whﻫ has hi𝑺 вack turnΕd.,antiophthalmic factor cleaning lady is sit around on the shock with her blazonry traverse and looking at at a male child who has his game turned.,woman is the floor with her arms at boy who has his back turned.,A woman is sitting on the floor a her arms crossed with looking at and boy who has his back turned.,A woman is sitting on the floor with her son arms crossed and angstrom unit looking at a boy who has his back turned.,A womam has sitting on the floor with her arms crossed and looking att aa boy who has his black turned.,A woman tis sitting on the floor with her arms crossed nd lukin at a boy who has his bk turned .,A المراة is sitting on the pis with her arms crossed and looking at a boy who has his back turned.,A woman is sitting on the @Fnh4 floor with her arms crossed and looking at a boy who has his back https://t.co/ypPs turned.,A woman is sitting on the floor with her arms crossed and looking at a Boye who has his Bak turned.,A woman sits on the floor with her arms crossed and looks at a boy whose back is turned.,A woman sits upon the floor with her arms crossed and looks on a boy that hath his back turned.,A girl is standing on the ground with her arms crossed while gazing at a boy who has his back turned.
5855445,"The living room is painted in purple and has a couch, chair, coffee table, mirror, vases, and rug, and windows.","The living ruum is painted in purple and has a c0och, chaik, coffee table, mirror, vases, and rug, and winduw8.","The living room is paontWd in puroKe and has a couch, Dhair, xoffeW table, Ni3ror, vaxes, and rug, and windows.","The DlivBing xroom is paiqn#ted in purple and has a coucnh, chair, coffee tatble, mVirrNor, vases, and rug, and windows.","The livicQ room is painted in purLJe and has a couuh, chzir, cofXze table, mirror, vases, and rug, and wyn6ows.","The living romo is apinetd in upprle and has a couch, chiar, coffee table, mirror, vases, and rug, and nwidows.","The living roo is painted in purp and has a couch, chair, coee tabe, mrrr, vases, and rug, and indos.","ThE livINg roOm Is paiNtEd in purple and haS A coucH, Chair, Coffee table, mIrror, vases, AnD rUg, And windows.","TThhee  lliivviinngg  rroooomm  iiss  ppaaiinntteedd  iinn  ppuurrppllee  aanndd  hhaass  aa  ccoouucchh,,  cchhaaiirr,,  ccooffffeeee  ttaabbllee,,  mmiirrrroorr,,  vvaasseess,,  aanndd  rruugg,,  aanndd  wwiinnddoowwss..","The living roo3 is paint3d in purple and has a c0uc4, c4air, coff33 table, 3irr0r, vas3s, and ru9, and 3indo3s.","The living room is painted  in purple  andhas acouch,  cha ir, coffee tab l e, m irror, vases, and rug,  and wi ndows . ","The living room is ᴘai𝓝ted in pʋrple and hＡs a couch, cha𝚒r‚ 𐔜offee ta𝚩l𐊆, 𝕸i𝖗ror, v𝛼ses, aռd rug, anᎠ 𝐖ιոdows.","The support board is varicolored in empurpled and has a couch, chair, burnt umber table, mirror, vases, and rug, and windows.","The living room is painted in purple has a couch, chair, coffee table, mirror, vases, and rug, windows.","a living room is painted in purple and has The couch, chair, coffee rug, mirror, vases, and table, and windows.","The living room dwell is painted inhabit in purple and has a couch, chair, coffee table, mirror, vases, and rug, and windows.","The livining roon is painted in purple ahdn has at couch, chair, cofe table, mirror, vases, and rug, and winows.","The living rm is painted in purple and has a couch , chair , coffee table , mirror , vases , nd rug , nd windows .","The العيش room is painted in lila and has a couch, chair, coffee table, mirror, vases, and rug, and windows.","The living room is painted in purple and @lMVD has a couch, chair, coffee table, https://t.co/5bF2 mirror, vases, and rug, and windows.","The living room is painted in purple and has a couch, chair, coffee table, mirror, vases, and rug, and windows.","The living room is painted purple and has a couch, chair, coffee table, mirror, vases, carpet and window.","The living room is painted in purple and hath a couch, chair, and table, and a mirror, vases, and rug, and windows, and the curtains","The living room is furnished with a couch, chair, coffee table, mirror, vases, rug, and windows, all of which are purple."
5109799,A bar chart showing the number and percentage of people who are using home monitoring devices.,A bar chart showing the nombek and percentage uf people who are osin9 home monitoring devices.,A bar chart showing the n tKber and petcentaNe of LeoOle who are usinr home monitoring devices.,A bar chart showing the number and percentage of people who are kusing hom8e monitori&ntg de8vic3es.,A bar ch(rt showing the number and peycentare of p%Sple who are using Bome monitoring devices.,A bar chrat showing the number and percentage of peploe who are using hoem monitoring devices.,A bar chrt showing the nume and prcetage of people who are using hom monitoring devices.,A Bar cHArt sHowIng thE number anD percentage of peOple Who ARE using home mOnIToring devIces.,AA  bbaarr  cchhaarrtt  sshhoowwiinngg  tthhee  nnuummbbeerr  aanndd  ppeerrcceennttaaggee  ooff  ppeeooppllee  wwhhoo  aarree  uussiinngg  hhoommee  mmoonniittoorriinngg  ddeevviicceess..,A bar chart showing th3 nu36er and percenta9e 0f p3ople 34o are using h03e 3onit0ring devic3s.,A bar chart showing the nu mber and p ercen tage o f peop le w ho are using h o me m onitoring devices.,A вar chart s𝞖oԝا𝜨ɡ th𝝚 number and рℰrce𝓷taƍe of 𝚙eople who a𖼵e usiոg h𑣗mE mo𝑁𝜄tОrі𝑁g d𝛦vices.,angstrom barroom graph picture the issue and percent of masses who are employ house supervise devices.,bar chart showing number and percentage of people who are using home,A bar chart people the showing and percentage of number who are using home monitoring devices.,A bar chart showing the number per centum and percentage of people who are using percent home monitoring devices.,At beer chart showing the numer and percentage of people who are using haum monitoring devices.,A bar chart showin the number nd percentage of pplz who are using hom monitoring devices .,A بار chart showing the number and percentatge of people who are using home monitoring devices.,A bar chart https://t.co/mMJw showing the number and percentage of people who are @sVdQ using home monitoring devices.,A bar chart showing Thee number and percentage of people who are using home monitoring devices.,A bar chart that shows the number and percentage of people using home surveillance devices.,A bar chart showing the number and percentage of people that use home monitoring devices.,A bar graph indicating the quantity and proportion of individuals who use home surveillance equipment.
9608312,"Man wearing aviator, goggles and tie in royalty photo.","Man wearing aviatuk, goggles and tie in royalty photo.","Man wearing avizt9r, YoggleX and tie in royalty phoFo.","Man wmeauring avWiatoYr, gogg+leXs and tie in royalty photo.","Man wLarins aviator, logglBs and tie in royalty phoso.","Man ewraing avaitro, golgges and tie in royalty photo.","Man wearing aviator, goges and tie in royly phto.","MaN wearing aviator, gogglEs aNd Tie in roYalTy Photo.","MMaann  wweeaarriinngg  aavviiaattoorr,,  ggoogggglleess  aanndd  ttiiee  iinn  rrooyyaallttyy  pphhoottoo..","Man wearing aviator, 9o99l3s and ti3 in royalt4 p4oto.","Man wearing aviator, goggl es and tie  in r oyalty  photo .","M𝑎n wearing aviato𝗋, goggles 𝛢ոd ti𝝚 i𝛮 r𝟬yalty photං𐩐","human being tire aviator, gape and link in royal family photo.","Man wearing aviator, goggles and tie royalty photo.","Man wearing aviator, goggles and photo. tie royalty in","Man wearing aviator, goggles and tie in standoff royalty royal family photo.","Mom wering aviator, goggles and tie in royalty fotho.","Man wearing aviator , goggles nd tie in royalty photo .","Man ارتداء aviator, goggles and tie in kungligheter photo.","Man wearing aviator, goggles and @RGlO tie https://t.co/uk2R in royalty photo.","Man wearing aviator, goggles and Tae in royalty photo.",Man wearing aviator glasses and tie in royal photo,"Man in aviator's cap, goggles and tie, in royalty photo.","A man donning an aviator, goggles, and tie in a royal photo."
320244,"An assortment of ingredients including peachs, apples, whiskey and other beverages.","An as80rtment of ingredients including peachs, apples, whiskey and other 6everage8.","An qssottment of ingredients including peachs, a(pIes, whiskey and othFr beverages.","An assortNmnent of ingredients including peachs, apples, whiskey and oNther beQve7rages.","An assorHmeAt of ingredients including peachs, apples, Nh(skey and other be8Zrages.","An assortment of nigreidnets including peachs, applse, whiskey and other ebveraegs.","An assortment of ngredies including peachs, apples, whiskey and othr beveaes.","An assorTment of ingreDienTS iNcluding peaChs, apples, WhisKey and oTheR bevErages.","AAnn  aassssoorrttmmeenntt  ooff  iinnggrreeddiieennttss  iinncclluuddiinngg  ppeeaacchhss,,  aapppplleess,,  wwhhiisskkeeyy  aanndd  ootthheerr  bbeevveerraaggeess..","An assortment of ingr3di3nts including p3ac4s, appl3s, 3hisk3y and oth3r b3v3rages.","An assortment of ingredien ts includi ng pe achs,apples , wh iskey and othe r  bev erages.","An 𝐚ssort𝗠𝛦nt of 𝗹ngＲΕdients iոcl𝘂ding peachs, appleS, whi𝘴key and סt𝙃er 𝚩evera𝕘e𝑠.","associate in nursing variety of element include peachs, apples, whisky and other beverages.","An assortment of ingredients including peachs, apples, whiskey and other beverages.","An assortment of beverages. other peachs, apples, whiskey and including ingredients","An assortment of ingredients including peachs, apples, associate in nursing whiskey and other admit beverages.","An assortiment ok ingredients including peachs, apples, whyskey and other beverages.","An assortment of ingredients including peachs , apples , whiskey nd other beverages .","An تشكيلة of ingredients including peachs, apples, whiskey and other beverages.","An assortment of ingredients including @cBtz peachs, apples, https://t.co/x1ZU whiskey and other beverages.","An assortment of ingredients including peachs, apples, whiskey and other beverages.","A selection of ingredients including peaches, apples, whisky and other drinks.","An assortment of ingredients, such as peach, apple, and other beverages, to be used in the","A range of ingredients, including peaches, apples, whiskey, and more."
10809874,Men in white shirts and ties standing around an electronic control room.,Men in white shirts and ties 8tandin9 around an electronic control r00m.,Men in white shirts and ties standing srounW an electronic contEo/ r8om.,Men in whtite shirts and ties Usta)nding around an electronic control r+oom.,Men in white shirts and ties 7tan#ing around an efectroni0 contrir room.,Men in whiet shirts and ites standing around an electronic octnrol room.,Men in wite shirts and ties standing arud an electronic cotro room.,Men in White shirts anD tiES sTAndIng arouNd an EleCtronIc Control room.,MMeenn  iinn  wwhhiittee  sshhiirrttss  aanndd  ttiieess  ssttaannddiinngg  aarroouunndd  aann  eelleeccttrroonniicc  ccoonnttrrooll  rroooomm..,Men in white s4irts and ties standin9 ar0und an 3l3ctronic contr0l r00m.,Men in white shirts and ti es standin g aro und an  elect roni c control room . ,ꓟen in whℐt𝜠 shi𝓇ts an𝑑 tie𝓈 standing a𝗋o𑢸n𝙙 an ℯʟectronic c0ntro𐐛 roo𝛭.,humanity in theodore harold white shirt and necktie resist just about an electronic ensure room.,Men in white ties standing around an electronic control room.,Men in white shirts and ties electronic an around standing control room.,Men in white shirts and shirt ties standing around an electronic curb control room.,Men in white shirts and ties standing arould an electronical control roon.,Men in white shirts nd ties standing around an electronic control rm .,Men in white shirts and ties standing around an electronic control room.,Men in white shirts @DdJN https://t.co/jjPx and ties standing around an electronic control room.,Men in Whyte shirts and ties standing around 'N electronic control Reaume.,Men in white shirts and ties stand around an electronic control room.,"Men in white coats and ties, standing about an electronic control room.","men in white shirts and ties, around an electronic control room."
9566675,"A woman sitting on the floor smoking a cigarette, cigarette lighter, black and white photo, interior shot.","A wuman sitting on the f1ook smoking a cigarette, cigarette lighter, 61ack and white ph0tu, interior shot.","A woman sit6lng on the floor smoking a Figar#tte, cigarette lighter, black and white pYoto, inherilr sho5.","A woman sitting on the floogr sEmokindg a cigarejttme, cigarette lightYeor, black and white photo, interior sho#t.","A woman sitting on the floor smokh(g a cigarmtWe, cigarette lighter, black and whitN photo, iptirior sho8.","A woamn sitting on the floor somkign a cigarette, cigarteet lighter, black and hwite hpoto, interior shot.","A woma sitting on the floor smoking a cigarte, cigarette lighter, black and wite photo, iterio sot.","A Woman siTtiNg On the fLoor smoking a cigareTte, ciGaRette Lighter, blacK ANd white Photo, interiOR Shot.","AA  wwoommaann  ssiittttiinngg  oonn  tthhee  fflloooorr  ssmmookkiinngg  aa  cciiggaarreettttee,,  cciiggaarreettttee  lliigghhtteerr,,  bbllaacckk  aanndd  wwhhiittee  pphhoottoo,,  iinntteerriioorr  sshhoott..","A woman sitting on the fl00r s3oking a ci9arett3, ci9arette li94ter, black and w4it3 p40to, int3ri0r sh0t.","A woman sitting on the flo or smoking  a ci garett e, cig aret te lighter, bl a ck a nd white photo, interi or shot .","A woman sitt𝗶𝜨g on the floor smoki𝛮g 𝚨 cigarette, c𝚕garettℰ li𝐺hte𝒓, 𝚋la𝖈k and white pＨoto, interiھr shot.","deoxyadenosine monophosphate fair sex model on the level fume a cigarette, cigaret lighter, smutty and lily white photo, upcountry shot.","A woman sitting on the smoking lighter, black and white photo, interior shot.","A interior sitting on the floor smoking and cigarette, cigarette lighter, black a white photo, woman shot.","A woman sitting on the floor smoking a cigarette, cigarette lighter, national black and womanhood white photo, interior shot.","A wumen sitting os the floor smoking a cigarette, cigarette ligher, black and white photo, interieur shoot.","A woman sitting on tha floor smoking a cigarette , cigarette lighter , blk nd white photo , interior shot .","A المراة sitting on the floor smoking a cigarette, cigarette lighter, black and white photo, interior shot.","A woman sitting @AYSd on the floor smoking a cigarette, cigarette lighter, black and https://t.co/FjkB white photo, interior shot.","A woman sitting on Thee floor smoking a cigarette, cigarette Lyter, black and Whyte photo, interior Szot.","A woman sitting on the floor smoking a cigarette, lighter, black and white photo, interior shot.","A woman sitting on the floor smoking a cigarette, cigarette lighter, black and white photo, interior shot.",A woman smoking a cigarette while sitting on the floor is shown in 'black and white' photo.
7351665,"British actress and television presenter, person pictured at an event with Guinness beer in London on 21st of December 1979.","Eriti8h actress and television presenter, pek8on pictured at an event with Guinness beer in London on 21st of December 1979.","British actress and television presenter, 0erAon pictured at an even5 with Guinness beer in London on 31st of DeDrmber 1i79.","British waxctress and television presenter, aper#son pictured at an eveDnt with Guinness beeDr in London on J21st of December 1979.","Britikv actress and television presenter, person picturr6 at an evenV wiKh Guinness beer in London on 21st of DecemTqr 1979.","British cartess and television rpesneter, epsron pictured at an event wiht Guinness beer in London on 21st of December 1799.","British tress and television presenter, eron picurd at an event with Gunnes beer in odon on 21st of December 1979.","BrItish AcTress and teLeVision presenter, pErSon pIctuReD at An event wIth Guinness BeEr iN LOndoN On 21st of DEcember 1979.","BBrriittiisshh  aaccttrreessss  aanndd  tteelleevviissiioonn  pprreesseenntteerr,,  ppeerrssoonn  ppiiccttuurreedd  aatt  aann  eevveenntt  wwiitthh  GGuuiinnnneessss  bbeeeerr  iinn  LLoonnddoonn  oonn  2211sstt  ooff  DDeecceemmbbeerr  11997799..","British actress and television present3r, p3rs0n pictured at an ev3nt wit4 6uinness b33r in L0ndon 0n 21st 0f 03ce36er 1919.","British actress and televi sion prese nter,  perso n pict ured  at an event w i th G uinness beer in London  on 21s t ofD ec ember  1979.","Brit١sh ac𝜯ress and telEvision 𝝦resent𝔼r, ᏢЕrs𝟘n pi𝖢𝖙ured 𝗔𝜏 an event with Guǀ𝖭ness beer in Lo𝕟don on 2ﺎst of Dece𐌑𝘽er 19７9.","british actress and idiot box presenter, somebody visualised at an case with sir alec guinness beer in greater london on st of december 1979.","British actress television presenter, person pictured at an event with beer on of December 1979.","British actress and television presenter, in pictured at an event with of beer person London on 21st Guinness December 1979.","British actress and television presenter, december person pictured at an event with Guinness beer in London on twenty first 21st of December 1979.","British actress and television presenter, person pictured alt and event with Guinness beber in London on 21rd jf December 1979.","British actress nd television presenter , person pictured at an event wiv Guinness grog in London on 21st of December 1979 .","British ممثلة and television presenter, person representava at an event with Guinness beer in London on 21st of December 1979.","British actress and television presenter, person pictured https://t.co/SIIy at an event with Guinness beer @N9vH in London on 21st of December 1979.","British actress and television presenter, person pictured at an event with Guinness beer in Lunden on 21st of December 1979.","British actress and TV presenter, pictured at an event with Guinness beer in London on December 21, 1979.","I have a picture of her, lady, and she is personatized at an event with Guinness beer in London on the twenty-first","On December 21, 1979, a British actress and television presenter was photographed with Guinness beer at an event in London."
1015058,"A woman's foot with pearls and the words comfortable, flexible, reflexology, massage spots.","A woman ' s foot with pear18 and the words comfortable, flexible, keflexol09y, mas8a9e spots.","A womaJ ' s foot wiyh )earlx and the words comfortable, flexible, ref/exPIogy, massage spots.","A woman ' s foSot wiMth pearls and the words comfortable, Qflexib+le, reflexology, massage sp+ots.","A woman ' s foat with pearls and the words cJmflrtawle, flexible, XeflexHkogy, massage spocs.","A woman ' s foot with pearls and the worsd comfortable, lfxeible, reflexology, massage sptos.","A woman ' s fot with pels and the wors comfortable, leible, reflexology, massage spots.","A Woman'S fooT wIth pearLs and thE words CoMfOrtable, flexiBle, reflExology, maSsage sPots.","AA  wwoommaann''ss  ffoooott  wwiitthh  ppeeaarrllss  aanndd  tthhee  wwoorrddss  ccoommffoorrttaabbllee,,  fflleexxiibbllee,,  rreefflleexxoollooggyy,,  mmaassssaaggee  ssppoottss..","A woman's foot wit4 p3arls and t4e w0rds c03f0rtable, fl3xi6le, reflex0l0g4, massa9e sp0ts.","A woman's foot with pearls  and the w ordscomfor table,  fle xible, reflexo l ogy,  massage spots.","A w𝑜maո's Foot 𝐰it𝝜 pearls anＤ the words ｃomfo𝔯tabꮮe, քlеx𝜤ble, refᒪexology, massage spots.","antiophthalmic factor woman's metrical foot with pearl and the word of honor comfortable, flexible, reflexology, knead spots.","foot with and the words comfortable, flexible, reflexology, massage","A woman's foot with pearls and the words comfortable, flexible, spots. reflexology, massage","A woman's foot with pearls and rub down scripture the words comfortable, flexible, reflexology, massage spots.","A wumen ' s food [[whit pearls and the works comfortable, flexible, reflexology, massage spots.","A woman 's foot wiv pearls and the words comfortable , flexible , reflexology , massage spots .","A woman's foot with pearls and the paraules comfortable, flexible, reflexology, massatge spots.","A @OKal woman's foot with https://t.co/If1q pearls and the words comfortable, flexible, reflexology, massage spots.","A womanEss foot with pearls and the Word'S comfortable, flexible, reflexology, massage spots.","A woman's foot with pearls and the words comfortable, flexible, reflex zones, massage points.","A woman’s foot with pearls and the words comfortable, Flexible, reflexology, Massage spots.","The foot of a woman with pearl-like features and the words comfortable, flexible, reflexological, massage marks."
