path,transcription,substitute_char_by_ocr,substitute_char_by_keyboard,insert_char_randomly,substitute_char_randomly,swap_char_randomly,delete_char_randomly,uppercase_char_randomly,repeat_characters,leet_letters,whitespace_perturbation,substitute_with_homoglyphs,synonym_replacement,random_deletion,random_swap,random_insertion,misspell_word,abbreviate_word,multilingual_dictionary_based_code_switch,checklist,close_homophones_swap,back_translation,style_paraphraser,paraphrase
common_voice_en_18961250.mp3,"Some cases may cause disfigurement, necessitating treatment.","Some cases may cao8e di8fi9okement, nece88itatin9 treatment.","Some cases may Xa6se disCJFKreJebt, nec@cAifat(Hg %reAtJen%.","S%oDme _caseFs may Xcauuse 9disfFiUgsu9remeent, necessitating treatment.","zoBe c3s_s may caAWe disfigurement, FLcessiQyxiWg treatment.","Some cases may acues sfdigiruement, nceesistatign rtaetemtn.","So cases may cue ifuemen, estatin treatment.","SoMe caSes May cause dIsfiGuREMeNT, neceSSITating TreaTmenT.","SSSSoooommmmeeee    ccccaaaasssseeeessss    mmmmaaaayyyy    ccccaaaauuuusssseeee    ddddiiiissssffffiiiigggguuuurrrreeeemmmmeeeennnntttt,,,,    nnnneeeecccceeeessssssssiiiittttaaaattttiiiinnnngggg    ttttrrrreeeeaaaattttmmmmeeeennnntttt....","Some cas3s 3ay caus3 disfi9ur333nt, nec3ssitatin9 tr3at33nt.","Some  cas es ma y c ausedisfi guremen t,ne ces sit a ti ng  tre a tme nt.","𝓼ome cas𝑬s 𐊰ᗅy c⍺us𝙴 𝘥𝚒𖼺𐔥𝟭g𝖚r𝙴ment, necess𝐢tatℑng 𝕋reaᎢme𝐍T.","some eccentric crataegus oxycantha get disfigurement, ask treatment.",cases may cause necessitating treatment.,"disfigurement, cases Some may necessitating cause treatment.","Some cases may cause require disfigurement, causal agency roughly roughly necessitating treatment.","Somen cases my couse disfigurement, necessitating teatment.","Some cases may cause disfigurement , necessitating treatment .","Some قضايا may cause disfigurement, necessitating treatment.","Some cases @x7c5IJE7 may cause disfigurement, necessitating https://t.co/dsUJurYB treatment.","Sum cases Maye Kaus disfigurement, necessitating treatment.","In some cases, disfigurements may occur that require treatment.","Some cases may disfigure, necessitate some remedy.","Disfigurement may be present in some cases, necessitating treatment."
common_voice_en_31354674.mp3,He has held several odd jobs.,He has he1d 8eveka1 odd jobs.,He has melv srv4raP odd iogs.,He has hebl9d osev4erWal odd jSo_bs.,He has yelz swDerao odd joZ$.,He has ehdl esvrela odd jbso.,He has ed eerl odd jo.,He haS hEld sEVeral Odd jOBS.,HHHHeeee    hhhhaaaassss    hhhheeeelllldddd    sssseeeevvvveeeerrrraaaallll    oooodddddddd    jjjjoooobbbbssss....,He has 43ld s3v3ral odd 70bs.,He h as h eld s eve ral o dd jo bs.,He has 𝙷eld severa𐔦 odd 𝘫𝞂bs۰,helium has guard various remaining jobs.,held several odd jobs.,jobs. odd held several has He,He has held diverse take various take several odd jobs.,Hi's haas holded several odd jobs.,He has held several odd jobs .,He has detenuto several odd jobs.,He https://t.co/cZqG2aMt has held several odd jobs. @6bKkwROl,Hee has held several odd Jobs'.,He had several odd jobs.,He hath held many odd jobs.,He has had a number of non-traditional jobs.
common_voice_en_19239985.mp3,Glad to see you.,C1ad tu see you.,boad to see you.,wGlavd to see you.,GE1d to see you.,Lgda to see you.,Gl to see you.,GLad tO SEe yOu.,GGGGllllaaaadddd    ttttoooo    sssseeeeeeee    yyyyoooouuuu....,Glad t0 s33 40u.,Glad  tosee y ou. ,𝖌Ꮮa𝗗 tﮨ 𝘴e𝖤 ϒo𝖚.,gladiolus to run into you.,Glad to you.,see you. Glad to,underwrite Glad glad to insure glad see you.,Gland tou see you.,Glad tuh cyu .,Glad to vedi you.,Glad to @48OnEy9c https://t.co/dEIRnWOi see you.,Gladd to Si Yew.,Nice to see you.,Gladly to see thee.,I'm glad to have the chance to meet you.
common_voice_en_18667454.mp3,Not a morsel of it.,Nut a morsel of it.,Not a horW#l of it.,Not a mvo&rseel of it.,Not a r6rsXl of it.,Not a morles of it.,Not a mrs of it.,NOt a MoRsEl oF It.,NNNNooootttt    aaaa    mmmmoooorrrrsssseeeellll    ooooffff    iiiitttt....,N0t a 30rs3l 0f it.,Nota mo rselofit.,N〇t a М𝚶ʀs𝕰𐐛 𝛐f it.,non a bit of it.,Not a morsel of,a of Not it. morsel,Not a bite morsel bite of snack bite it.,Not aa morsel ot in.,Not a morsel of it .,Not a morsel of it.,https://t.co/GedTl8wn Not a morsel @Ac40dS9o of it.,Nott a morsel of it.,Not a bit of it.,Not a morsel.,Not a single drop of it.
common_voice_en_20234968.mp3,The Club also hosted various onboard activities to preserve its heritage.,The Club also hosted various onboard activitie8 to pke8ekve its hekita9e.,The Club W<so TksteF various Pnbisrd qc$iBitiez to pgFserfd its heritage.,The Club galSso ah9ost5ed various oLnbofatrd activities to ptrZe$servie its UheZritYaFge.,The Cqnb +1so hosted Oa_@ous onboard acxQvi)4es to ^resdbv$ its heritage.,The Lcbu laos hosted vraiuso onboard activities to eprserve its hreaiteg.,The Cb ao hed various onbr activities to preserve its hetg.,ThE ClUB also hosted vArioUS onboARd actIvITiEs TO pRESERve Its hERitaGE.,TTTThhhheeee    CCCClllluuuubbbb    aaaallllssssoooo    hhhhoooosssstttteeeedddd    vvvvaaaarrrriiiioooouuuussss    oooonnnnbbbbooooaaaarrrrdddd    aaaaccccttttiiiivvvviiiittttiiiieeeessss    ttttoooo    pppprrrreeeesssseeeerrrrvvvveeee    iiiittttssss    hhhheeeerrrriiiittttaaaaggggeeee....,The Club als0 4ost3d vari0us 0n60ard activiti3s to pres3rv3 its 43rita93.,TheClub  also  ho stedvario us onbo ard  a cti vit i es  t o pr e ser ve its heri ta g e .,Thⴹ Cl𐓎b 𝕬lso hos𝕥𝘌d vaʀiංus onᏴoard actıv١t𝗶Εs to pr𝑬ᏚΕꭱve ℑ𐊗s herｉ𝞃𐊠ꓖe.,The nightspot too host assorted onboard bodily process to preserves its heritage.,Club also various onboard activities preserve its heritage.,preserve Club also hosted its onboard various The to activities heritage.,The similarly Club also conserve hosted likewise various onboard activities to preserve natural action its heritage.,Athe Club alos hosted various onboard activit wo preserve its hertage.,The Club also hosted various onboard activities tuh preserve its heritage .,The Club anche hosted various onboard activities to bevara its heritage.,The Club also hosted various onboard activities to preserve @4qyDvUzq its https://t.co/85219tHO heritage.,Thee Clubb also hosted various onboard activities to preserve It'S heritage.,The club also organized various activities on board to preserve its heritage.,The Club hath also hosted divers onboard activities To preserve the memory of its own.,"In an effort to conserve its heritage, the Club organized various onboard events."
common_voice_en_26683932.mp3,Studies may be elementary or advanced.,8todie8 may be e1ementaky 0k advanced.,St TeiSs may be Rlemen%sey or aEBXnc$d.,Stoud1ie!s may be )eilemenUtaqry or adLvcavnce9d.,*tudOTs may be OlQm^ntarX or RdFanc$b.,Tsudies may be lemeentayr or dvanaecd.,tuds may be eemary or avac.,StUdies maY be ELemeNtAry Or AdVANcEd.,SSSSttttuuuuddddiiiieeeessss    mmmmaaaayyyy    bbbbeeee    eeeelllleeeemmmmeeeennnnttttaaaarrrryyyy    oooorrrr    aaaaddddvvvvaaaannnncccceeeedddd....,Studies ma4 b3 3l3m3ntar4 0r advanced.,Stud iesmay b e e lemen taryor adva nce d. ,Ѕt𑣘d𝟷eꓢ 𝕄𐊠y b𝐸 𐊆𐔦emeⲚ𝑇ar𝛶 〇𝕣 advAnc𑢮ｄ۰,contemplate english hawthorn be uncomplicated or advanced.,Studies be advanced.,Studies be advanced. may elementary or,elementary crataegus laevigata Studies field of study elemental may be elementary or advanced.,Studies my be elementary oir advaced.,Studies may b3 elementary or advanced .,Studies ايار be elementary or advanced.,@775gvFnh Studies may be https://t.co/4ypPsO2p elementary or advanced.,Study'S Mey be elementary Er advanced.,Studies can be elementary or advanced.,Some studies may be elementary or advanced.,Either elementary or advanced studies can be studied.
common_voice_en_20583597.mp3,"The riverbank is popular with anglers, along with a number of local private pools.","The riverbank is popular with anglers, al0n9 with a nom6ek of local private pools.","The riverbank is popular wJtM amnl@rs, a,Png 3ifh a nuNbwe of local p#iDxte 0ooOs.","The yrLivnerbMank is pjopuZl^ar cwiXth anglers, ahlondg wiitSh a ZnXumbe0r of local private &poolss.","The iiv!rvalk is tokulaY eiZh anglers, aPo&g with a nyDbe& of Oocgl private pKNls.","The riverbank is popular whit anlgers, along iwht a nmuber of lcola ripavte pools.","The ivean is ouar wt anglers, along it a number of lca piae ols.","ThE RiVERbank is populAr wITh AngLers, aLONG WitH a NUMbEr Of LocaL privAtE pOoLs.","TTTThhhheeee    rrrriiiivvvveeeerrrrbbbbaaaannnnkkkk    iiiissss    ppppooooppppuuuullllaaaarrrr    wwwwiiiitttthhhh    aaaannnngggglllleeeerrrrssss,,,,    aaaalllloooonnnngggg    wwwwiiiitttthhhh    aaaa    nnnnuuuummmmbbbbeeeerrrr    ooooffff    llllooooccccaaaallll    pppprrrriiiivvvvaaaatttteeee    ppppoooooooollllssss....","The riverbank is p0pular 3ith an9l3rs, al0n9 3it4 a numb3r 0f l0cal privat3 p00ls.","Therive rbank  is  popu lar w ith ang ler s,  al ong wi th  a n u mbe r of localpr i v atepools.",Tｈe 𝕣i𝐯e𝖗ban𝒦 𝜾s pዐ𝓅𝖚𑢲αr աl𝚝h 𝛢ngᒪeꮢs， ａ𖼖ong 𝘞ℐth a numbe𝑟 oϜ l𝐨ca𑢲 p𝗿i𝝂ate 𝒑〇ol𝒔.,"The riverside is democratic with anglers, on with a telephone number of local anaesthetic individual pools.","The riverbank with anglers, along with a of local private pools.","The with is popular with local along riverbank private number a anglers, of pools.","The riverbank is popular with democratic anglers, local anesthetic along with a number local anesthetic of on local private pools.","They riverbank ai popuplar witth anglers, olong with o number of local privet pools.","The riverbank tis popular wiv anglers , along wiv a nmbr of local prv pools .","The riverbank is popular with anglers, साथ med a number of местные private pools.","The riverbank is popular with anglers, https://t.co/9ydsVdQm along with a number of @VD5bF2Sy local private pools.","Thee riverbank is popular with anglers, along with a number of local private pools.","The riverbank is popular with fishermen, as are a number of local private swimming pools.","The riverbank is popular with anglers, along with a number of private pools.",Anglers are attracted to the riverbank and a number of private pools in the vicinity.
common_voice_en_20284511.mp3,He grew up in Mount Pleasant and attended Applecross Senior High School.,He grew op in M0ont P1ea8ant and attended App1ecko88 Senior High School.,He g5e@ up in n)unt PlSXsaBh and at^ebWev Applecross qdniog High Zch(9l.,He grAecw up in MAoun+t Pole#asaFn&t and attended ApYpjlecrdo4ss &Setniior High Syc(hokol.,He lWew up in Mof&t t2eisanp and attended As#lecQIss Senon9 HFg0 School.,He grew up in Muotn Plaestna and attended Paplecross Nseoir High Scohol.,He rw up in oun Pest and attended plcoss Sno ig School.,He GRew up In Mount PlEasaNT aND ATtendeD APpLecRoSS SENIor HiGh SchooL.,HHHHeeee    ggggrrrreeeewwww    uuuupppp    iiiinnnn    MMMMoooouuuunnnntttt    PPPPlllleeeeaaaassssaaaannnntttt    aaaannnndddd    aaaatttttttteeeennnnddddeeeedddd    AAAApppppppplllleeeeccccrrrroooossssssss    SSSSeeeennnniiiioooorrrr    HHHHiiiigggghhhh    SSSScccchhhhoooooooollll....,He grew up in Mount Pl3asant and att3nded 4ppl3cr0ss 53nior Hig4 5ch00l.,He g rewup in  Mo unt P leasa nt andatt en ded  Ap p le cr ossS eni or High Sch oo l . ,H𝙴 ԌRew up 𝕚n 𝛭o𖽂𝚗t Plea𝑆an𝖙 and a𝑡𝕋ℰn𝗱e𝗗 App𐐛e𝓬ross Seni໐Ꭱ H1ᶃh S𐌂hھoＬ꘎,atomic number  arise up in saddle horse pleasant and hang Applecross fourth year high School.,grew up Mount Pleasant and attended Applecross Senior High School.,School. up grew in Mount attended Applecross Pleasant and Senior High He,He grew up helium in Mount climb on Pleasant and luxuriously attended Applecross Senior pleasant High School.,He's grey ab hs Mount Pleasant and affended Applecross Snr High School.,He grew up in Mount Pleasant nd attended Applecross Senior High skl .,He نما up in Mount Pleasant and attended Applecross Senior High School.,He grew up https://t.co/uk2RL9CV in Mount Pleasant @w9fxRGlO and attended Applecross Senior High School.,Hee Grue Upp Inn Mount Pleasant and attended Applecross Senior Jai School.,He grew up in Mount Pleasant and attended Applecross Senior High School.,He was born in Mount Pleasant and attended the school of Applecross.,He spent his childhood in Mount Pleasant and attended Applecross Senior High School.
common_voice_en_27656364.mp3,The event gave a chance for amateurs to play alongside professionals.,The event 9ave a chance for amateok8 to play a10n98ide professionals.,The event YavF a cJxhce for ama5e85x to lIay alPnhs*ee professionals.,The Se6vent gYav&e a wcph4ance for _am*aQte(urs to play alongside MprLofyesas7ionaals.,The dvelt l*ve a chance for 0ma^vurd to play alNOg&Sde proTXrXCqnals.,The evten gave a cahcen for mataeurs to payl alongside professonisal.,The eet gave a anc for aate to play longd prossin.,ThE EveNt gAve a chancE foR AmATeURs to pLAY alonGsiDE prOfeSsIOnaLS.,TTTThhhheeee    eeeevvvveeeennnntttt    ggggaaaavvvveeee    aaaa    cccchhhhaaaannnncccceeee    ffffoooorrrr    aaaammmmaaaatttteeeeuuuurrrrssss    ttttoooo    ppppllllaaaayyyy    aaaalllloooonnnnggggssssiiiiddddeeee    pppprrrrooooffffeeeessssssssiiiioooonnnnaaaallllssss....,The event 9av3 a chanc3 f0r a3at3urs t0 play alon9sid3 prof3ssi0nals.,Theeven t gav e a  chan ce fo r amate urs  t o p lay al on gsid e  pr ofessionals .,TᏂ𝘌 ҽ𑢠𝔼𝞜𝓣 g𝖠v𝝚 a chanc𝐸 ϝ𝞼r a𝛭at𐊆𝒰гs 𝗧𝟘 ⍴lay aloɴᏻꜱ𖼨de ⍴rofⅇ𝚜si𝘰n⍺Ｌ𝘀.,The outcome pass a gamble for amateur to romp aboard professionals.,event gave chance for play alongside professionals.,to event professionals. a alongside for chance The play amateurs gave,The event gave a chance for amateurs romp to aboard play amateur on base alongside professionals.,Tne evet gave a chace forward amateurs two play alongside professionals.,The event gave a chance fo` amateurs tuh play alongside professionals .,The حدث gave a चांस för amateurs to play alongside professionals.,The event https://t.co/1DdJNjjP gave a chance for amateurs to @Btzx1ZUu play alongside professionals.,Thee event gave a chance for amateurs to play alongside Professionals'.,The event offered amateurs the chance to play alongside professionals.,The event hath given occasion to amateurs to play with professionals.,The competition presented an opportunity for amateurs to play with professionals.
common_voice_en_24950205.mp3,"Individually, they are of little consequence, but taken together they have a significant effect.","1ndividoa11y, they are uf 1itt1e c0n8e9oence, but taken tu9ethek they have a 8i9nificant effect.","jndiviSIalO%, tNe& are of Pi$t/e dpnAequWgce, but taken together tbry hSce a significant @fGeSt.","Individually, ethedy are of little bcZonseq^uebn(ce, but MtakYen tyo3ge%th+er thDe8y hEaave a sig8nif6iecSanAt effect.","IndividkqLaF, t$er are of lhIt5e consequence, but M4ken to4eCrpr tuet have a &ignizCcan* effect.","Ndividiualyl, they are of itltel consequence, but taken tgoetehr they heav a isnigfiactn effetc.","Individually, hy are of little suence, but akn together th hv a siiica fct.","InDIviDUAlly, thEy are oF LIttLe ConsequencE, buT tAkEN TogeThEr tHeY hAve A sIGNIfiCANt efFect.","IIIInnnnddddiiiivvvviiiidddduuuuaaaallllllllyyyy,,,,    tttthhhheeeeyyyy    aaaarrrreeee    ooooffff    lllliiiittttttttlllleeee    ccccoooonnnnsssseeeeqqqquuuueeeennnncccceeee,,,,    bbbbuuuutttt    ttttaaaakkkkeeeennnn    ttttooooggggeeeetttthhhheeeerrrr    tttthhhheeeeyyyy    hhhhaaaavvvveeee    aaaa    ssssiiiiggggnnnniiiiffffiiiiccccaaaannnntttt    eeeeffffffffeeeecccctttt....","Individually, t4ey are 0f littl3 c0nsequ3nc3, 6ut tak3n to93th3r t434 4ave a si9nificant eff3ct.","Indi vidu ally,  th ey ar e oflittlecon se que nce ,  b ut  tak e n t ogether the yh a ve a  signifi ca nt effect.","INdɪvid𝐔aⳐly, t𝙝𝐄y 𝒂𝗿e 𝝄𑣂 𑢣ﺎt𝚝le c𝝤𝐍sequᎬ𝚴ce٫ bu𝓣 t𝘼kꭼ𝒏 tσ𝚐Ꭼthe𝔯 𝑇𝗛ey h𝔄ve a sig𝞜𝝞քica𝖭t eFfect.","Individually, they are of footling consequence, but hire in concert they have a important effect.","Individually, little consequence, but taken together have a","of they together significant little consequence, but taken effect. they have a Individually, are","Individually, they are of little consequence, meaning choose but taken meaning together meaning they have a significant effect.","Individually, the are of little consequence, bud thaken together thei hanve ein significance effect.","Individually , dey r of lil consequence , but taken together dey hve a significant efct .","Individually, انهم are of छोटा consequence, но taken together они have a معنی خیز effect.","Individually, they are https://t.co/BThN9vHS of little consequence, but @UAYSdFjk taken together they have a significant effect.","Individually, they Err of Littell consequence, Butt taken together they Halve a significant effect.","On their own, they are of little importance, but together they have a significant effect.","They are of little consequence, but taken together Have a notable effect.","They are not particularly influential on their own, but when combined, they have a significant influence."
common_voice_en_19994924.mp3,Itakura is largely a bedroom community for Tokyo and nearly Tatebayashi.,Itakura is largely a bedroom community fuk Toryu and neak1y Tate6aya8hi.,ItaJudx is largely a nedro*K coKKjHity for T(kGo and bear/H Tatebayashi.,It@akuPrLa is laRrgdeLly a Sbked!room community for ToOkySo and neYarulJy Tatebayashi.,G)akurl is lf_geKy a bodkooC community for Tokyo and webUly +GLebayvsGi.,Taikuar is largely a bedorom ocmmniuty for Ktoyo and nearly Ttaeabysaih.,Itakura is rgey a bedo ommni for oyo and nea Tatebayashi.,ItAKUra is Largely a bEdroOM cOMmUNity fOr ToKyo aND nEARly TaTebAyashI.,IIIIttttaaaakkkkuuuurrrraaaa    iiiissss    llllaaaarrrrggggeeeellllyyyy    aaaa    bbbbeeeeddddrrrroooooooommmm    ccccoooommmmmmmmuuuunnnniiiittttyyyy    ffffoooorrrr    TTTTooookkkkyyyyoooo    aaaannnndddd    nnnneeeeaaaarrrrllllyyyy    TTTTaaaatttteeeebbbbaaaayyyyaaaasssshhhhiiii....,Itakura is largely a bedr00m co33unit4 for 70ky0 and n3arl4 7at36ayas4i.,Itak urais la rge ly abedro om comm uni ty  fo r T o ky oandn ear ly Tatebaya sh i . ,Ita𝘬uʀ𝝰 i𝘀 lᴀℝge𐑃𝘆 a 𝓑eｄrooϺ comm𝞄nꭵty for T𝝄kүo an𝚍 ne𐊠RlＹ T𝔞𝚻ebaＹasHi.,Itakura is for the most part a chamber biotic community for yedo and almost Tatebayashi.,is bedroom and,Itakura is largely and bedroom Tokyo a nearly for community Tatebayashi.,yeddo Itakura is largely a bedroom community edo almost edo for Tokyo and nearly Tatebayashi.,Itakura in largely a bedroom comunnity ofr Tokoy and never Tatebayashi.,Itakura tis largely a bedroom community fo` Tokyo nd nearly Tatebayashi .,Itakura is largely a bedroom community for Tokyo och nearly Tatebayashi.,Itakura is @HfOKalIf largely a bedroom community for https://t.co/1qi9brWJ Tokyo and nearly Tatebayashi.,Itakura is largely a bedroom community for Tokio and nearly Tatebayashi.,Itakura is largely a bedroom community for Tokyo and almost Tatebayashi.,Tatebayashi is almost wholly a bedroom community for Tokyo and almost wholly a bedroom community for It,The majority of Itakura is occupied by Tokyo and almost borders Tatebayashi.
common_voice_en_21736110.mp3,Weekend broadcasts aired entirely from Portland.,Weerend 6ruadca8t8 aiked entirely from Portland.,Weekend br9adSaz%s aired eB4i3eky from Poef:Snd.,Weekend TbkroadcJast4s asire!d eOnbtihre2ly from Portland.,Weekend broavca&o@ aired entirely Qrob F)rLla3d.,Weekend braodctass aride entirely from Ptoraldn.,eked broadcasts aired enrl rm Portland.,WeEkEnd brOAdcaSts aired eNTiRELY FroM POrtlanD.,WWWWeeeeeeeekkkkeeeennnndddd    bbbbrrrrooooaaaaddddccccaaaassssttttssss    aaaaiiiirrrreeeedddd    eeeennnnttttiiiirrrreeeellllyyyy    ffffrrrroooommmm    PPPPoooorrrrttttllllaaaannnndddd....,Weekend 6r0adcasts air3d 3ntir3ly fr03 Portland.,Week endbroad cas ts ai red e ntirely  fr om  Po rtl a nd .,Weekℯn𝐷 bꓣoadc𝝖𝖲𝔱s aired 𝛦nti𝒓Еly froꓟ Portl𝓐ոⅾ꘎,weekend circularise beam totally from Portland.,Weekend broadcasts entirely,entirely broadcasts Portland. Weekend from aired,wholly Weekend weekend broadcasts aired aerate entirely from weekend Portland.,Wenkend broadcasts aired entirely froo Portland.,Weekend broadcasts aired entirely frm Portland .,Weekend broadcasts aired entirely from Portland.,@O0KWzdN8 Weekend broadcasts https://t.co/JYEDXHsr aired entirely from Portland.,Weekend broadcasts aired entirely from Portland.,Weekend broadcasts were broadcast entirely from Portland.,All the weekend broadcasts Have been from Portland.,Portland was the only location for weekend broadcasts.
common_voice_en_25781616.mp3,He was buried in Breisgau.,He wa8 buried in Ekei8gao.,He was f8rieE in gr$isTZu.,He was burmiEeWd in fBr@eiMsgaMu.,He was %uaQed in Br%G6ga+.,He was ubrdie in Briesgua.,He was uie in rgau.,He waS buriEd In BREIsGau.,HHHHeeee    wwwwaaaassss    bbbbuuuurrrriiiieeeedddd    iiiinnnn    BBBBrrrreeeeiiiissssggggaaaauuuu....,He 3as 6uri3d in Br3isgau.,He w as b uried  in  Brei sgau. ,He w𝐴Ꮪ bur𝕚ed |n B𝓇𝙀isg𝑎𝜐.,atomic number  was bury in Breisgau.,He in Breisgau.,in was He buried Breisgau.,engulf immerse He immerse immerse was buried in Breisgau.,The wad buried oin Breisgau.,He wuz buried in Breisgau .,He كان buried in Breisgau.,He was buried in https://t.co/cVBvNNlw Breisgau. @9cfLmS19,Hee was buried Inn Breisgau.,He was buried in Breisgau.,He was buried in Breisgau.,He was laid to rest in the town of Breisgau.
common_voice_en_22933331.mp3,They performed concerts in Athens and Thessaloniki as well as abroad.,They pekfukmed concerts in Athens and Thessaloniki a8 well a8 a6kuad.,"ThRU oRrforJfd concerts in StBene and Thessaloniki as del, as abt)Ad.",Th)egy p@eUrfo%rPmed concerts in Athens and ITheWssalonTiSkSi as iwMell as abJrFo1ad.,They p+gf$ried nonpJrt3 in qtNe)s and nhe7saloO%Ci as well as a$mhad.,Hety perofmred ocncetrs in Athens and Hetsasloinik as lwel as abroad.,They pefre octs in hns and Thlniki as well as ara.,ThEY peRforMed concertS in AThENs And TheSSAlonikI aS WelL aS ABroAD.,TTTThhhheeeeyyyy    ppppeeeerrrrffffoooorrrrmmmmeeeedddd    ccccoooonnnncccceeeerrrrttttssss    iiiinnnn    AAAAtttthhhheeeennnnssss    aaaannnndddd    TTTThhhheeeessssssssaaaalllloooonnnniiiikkkkiiii    aaaassss    wwwweeeellllllll    aaaassss    aaaabbbbrrrrooooaaaadddd....,They perf0r3ed c0ncerts in 4th3ns and Th3ssal0niki as 33ll as a6r0ad.,They  per forme d c oncer ts in  Athens  an dThe ssa l on ik i as wel l as abroad .,𝛵ᎻeY 𝗉℮rքorⅯed 𝒄०nᏟꓰrts in Athe𝒩𝕤 a𝒩d 𑢼𝘩𝑬ssalo𝙣ik𝕚 ᗅ𐑈 well a𝓼 ᴀbᖇ𝑜𝞐ԁ.,They do concert in athens and salonica as easily as abroad.,performed concerts Thessaloniki well as abroad.,They performed concerts as Athens as and Thessaloniki in well abroad.,They performed perform concerts in perform concert Athens and Thessaloniki as perform well as abroad.,They performed concerts in Athen nd Thessaloniki are well ass abord.,They performed concerts in Athens nd Thessaloniki as well as abroad .,They performed concerti in Athens और Thessaloniki as well as abroad.,They @hsCRtXPD performed concerts in Athens https://t.co/UvjzYGBj and Thessaloniki as well as abroad.,They performed concerts Inn Athans and Thessaloniki as well as abroad.,They gave concerts in Athens and Thessaloniki as well as abroad.,They have performed in Athens and Thessaloniki as well as abroad.,"Athens and Thessaloniki were among the cities where they gave concerts, as well as other places worldwide."
common_voice_en_18748852.mp3,To the north is Mariotte.,To the nukth i8 Maki0tte.,To the Gortj is HarOo%$e.,To the gnoqrth is SMaLrbiotete.,To the nor9n is lariNrtL.,To the ontrh is Amriotet.,To the nrh is Mait.,To thE nortH iS MArIotTE.,TTTToooo    tttthhhheeee    nnnnoooorrrrtttthhhh    iiiissss    MMMMaaaarrrriiiiooootttttttteeee....,To t43 n0rth is Mari0tte.,To t he n orthisMario tte.,To 𝑻hꓰ 𝗻ﮫrth is Mᗅriot𝑇e.,To the northward is Mariotte.,the north is,the north To Mariotte. is,To the north is northwards north northwards north Mariotte.,TO the nort shi Mariotte.,To tha north tis Mariotte .,To ال north is Mariotte.,To the north https://t.co/Ey0dZi4B is @rP6awqQK Mariotte.,To Thee north is Mariotte.,To the north is Mariotte.,To the north is Mariotte.,Mariotte lies to the north.
common_voice_en_18709277.mp3,Clive Barker served as consultant.,G1ive Eakrer 8ekved as consultant.,C<iv@ BAtkee served as Xondu<taJt.,ClgiBve B&ar_kqer sie4rMved as consultant.,Clive BackX( se8MeK as gousulqaut.,Licve Abrker served as ocnusltant.,lve Barker ser as onsula.,ClIve BarkER seRVEd As cONSultANt.,CCCClllliiiivvvveeee    BBBBaaaarrrrkkkkeeeerrrr    sssseeeerrrrvvvveeeedddd    aaaassss    ccccoooonnnnssssuuuullllttttaaaannnntttt....,Cliv3 8ark3r serv3d as consultant.,Cliv e Ba rkerser ved a s con sultant .,Cꓡ𝕴Ⅴ𝗘 𝘉arｋer served a𝒔 𝚌〇ns𝒖lτ𝘈𝕟t۰,robert clive bow wow swear out as consultant.,Clive served consultant.,served Barker consultant. as Clive,clive Clive Barker doggy served dish up doggy as consultant.,Clive Barker serve at consuliting.,Clive Barker served as consultant .,Clive Barker serviti as consultant.,Clive Barker served https://t.co/6r403alC as consultant. @UxGtihxn,Clyve Barker served as consultant.,Clive Barker acted as an adviser.,Clive Barker served as consultant.,Clive Barker was the consultant.
common_voice_en_20037967.mp3,It was probably a water fowl or beaver too far away to be identified.,It wa8 pr06a61y a water fuw1 uk 6eavek tuu far away to be identified.,It was 0rPFzbly a wSt#r B(wl or Hfave# too far aSaJ to be idfG6lfied.,It was 2pro$bakblGy a wAatUer gfoxwl or bzea$vher too far aiw@ay to be 3idDeNntifiehd.,It was oribobJy a 5aWer folh or Ueafes too far Gway to be DdBnti6ged.,It was rpobbayl a water oflw or ebaver too far waya to be dientifeid.,It was raby a wae fl or bea too far wy to be idenif.,It WAs ProbAbly a wateR foWL oR bEAver toO Far awAy TO be idEnTIfiED.,IIIItttt    wwwwaaaassss    pppprrrroooobbbbaaaabbbbllllyyyy    aaaa    wwwwaaaatttteeeerrrr    ffffoooowwwwllll    oooorrrr    bbbbeeeeaaaavvvveeeerrrr    ttttoooooooo    ffffaaaarrrr    aaaawwwwaaaayyyy    ttttoooo    bbbbeeee    iiiiddddeeeennnnttttiiiiffffiiiieeeedddd....,It was probabl4 a 3at3r fo3l 0r 6eav3r t0o far a3a4 t0 63 identifi3d.,It w as p robab lya wat er fo wl or b eav er  to o f a raw ay t o  be  identified .,I𝚝 wΑs prഠb𝓐ꓐly a 𝔀a𝝩𝙀r ᖴ𝜪Wᒪ oℝ bΕaver tಂo 𐊥aᚱ awa𝚈 𝚃𝐎 𝐁e iᎠentіϝᎥᎬᏧꓸ,it was in all likelihood a pee poultry or stovepipe too interahamwe out to be identified.,probably a fowl beaver too far be,be away probably a water fowl or It too far identified. to beaver was,oregonian It was probably a believably poultry off water fowl or beaver too far away to be identified.,Lt [[whas probably a waters fowl of beaver two far away tto be identified.,It wuz prollz a h2o fowl or beaver too far away tuh b3 identified .,It كان probably a वाटर höns or beaver too далеко away to be identified.,It was probably a @GQowCuse water fowl or beaver https://t.co/wJ6thi9n too far away to be identified.,It was probably a water fowl Are Beever Two Phar away to be identified.,It was probably a waterfowl or beaver that was too far away to be identified.,It was most likely a water fowl or beaver too far off to be identified.,The bird was probably a water fowl or beaver that was too distant to be recognized.
